Week #,Starting Date,Total Value,Num Datapoints,Average Value,Average Value (/7)
457,9/30/2018,0.055789908,7,0.007969987,0.007969987
458,10/7/2018,0.030668244,7,0.004381178,0.004381178
459,10/14/2018,0.019324062,7,0.00276058,0.00276058
460,10/21/2018,0.032266477,7,0.004609497,0.004609497
461,10/28/2018,0.032058983,7,0.004579855,0.004579855
462,11/4/2018,0.015280425,7,0.002182918,0.002182918
463,11/11/2018,0.012156845,7,0.001736692,0.001736692
464,11/18/2018,0.031250013,7,0.004464288,0.004464288
465,11/25/2018,0.034715388,7,0.004959341,0.004959341
466,12/2/2018,0.024131924,7,0.003447418,0.003447418
467,12/9/2018,0.029149561,7,0.004164223,0.004164223
468,12/16/2018,0.032434669,7,0.004633524,0.004633524
469,12/23/2018,0.025412198,7,0.003630314,0.003630314
470,12/30/2018,0.022154194,7,0.003164885,0.003164885
471,1/6/2019,0.031613157,7,0.004516165,0.004516165
472,1/13/2019,0.03203231,7,0.004576044,0.004576044
473,1/20/2019,0.024732259,7,0.00353318,0.00353318
474,1/27/2019,0.03148636,7,0.004498051,0.004498051
475,2/3/2019,0.022857438,7,0.003265348,0.003265348
476,2/10/2019,0.026427633,7,0.003775376,0.003775376
477,2/17/2019,0.017270618,7,0.002467231,0.002467231
